,ingredientID,ingredients,recipeinfo,recipename,internal_list
50,"1684,1526,7785,16421,16287,16319,16424,16339,5233,5233,1526,5106,16258,1526,16424","all-purpose flour,white sugar,baking powder,salt,cold buttermilk,egg yolk,vanilla extract,cold unsalted butter, cubed,sliced strawberries,ripe strawberries, hulled and quartered,white sugar,lemon, zested,heavy whipping cream,white sugar, or more to taste,vanilla extract",https://www.allrecipes.com/recipe/283707/skillet-strawberry-shortcake/,/283707/,"all-purpose flour,white sugar,baking powder,salt,cold buttermilk,egg yolk,vanilla extract,cold butter,strawberries,ripe strawberries,white sugar,lemon,heavy whipping cream,white sugar, or more to taste,vanilla extract"
51,"16278,16317,16421,16424,2104,6307,1536,16386","milk,egg,salt,vanilla extract,bread,olive oil,maple syrup,ground cinnamon",https://www.allrecipes.com/recipe/275216/french-toast-for-one/,/275216/,"milk,egg,salt,vanilla extract,bread,olive oil,maple syrup,ground cinnamon"
52,"1718,16133,1526,5595,2882,1636,6379,22005,4342,4405","spaghetti,chicken broth,white sugar,hoisin sauce,soy sauce,cornstarch,vegetable oil,uncooked medium shrimp, peeled and deveined,garlic, minced,green onions, chopped",https://www.allrecipes.com/recipe/223102/shrimp-lo-mein/,/223102/,"spaghetti,chicken broth,white sugar,hoisin sauce,soy sauce,cornstarch,vegetable oil,shrimp,garlic,green onions"
53,"3767,5051,2496,1417,16421,5015,1417,16382,16421,21172","raw almonds,dates, pitted and roughly chopped,water, or as needed,cocoa powder,salt,bananas,cocoa powder,ground cardamom,salt,vegan chocolate chips",https://www.allrecipes.com/recipe/284631/vegan-frozen-banana-chocolate-pie/,/284631/,"raw almonds,dates,water, or,cocoa powder,salt,bananas,cocoa powder,ground cardamom,salt,vegan chocolate chips"
54,"2819,2858,1536,1767,16424,16421,1338,2850","chickpeas, drained,peanut butter,pure maple syrup, or to taste,all-purpose flour,vanilla extract,salt,vegan chocolate chips,peanuts",https://www.allrecipes.com/recipe/283809/chickpea-cookie-dough/,/283809/,"chickpeas,peanut butter,pure maple syrup, or to taste,all-purpose flour,vanilla extract,salt,vegan chocolate chips,peanuts"
55,"1350,29745,1526","Frozen desserts, ice cream, vanilla,large egg yolks,Sugars, granulated",https://www.allrecipes.com/recipe/8211182/easy-3-ingredient-vanilla-creme-brulee/,/8211182/,"desserts, ice cream, vanilla,large egg yolks,Sugars"
56,"16317,1526,19360,8310,9972,2392,1416","eggs, separated, divided,sugar,mascarpone cheese,amaretto liqueur, divided,brewed espresso, cooled,ladyfingers (about 30),cocoa powder, or as needed",https://www.allrecipes.com/recipe/279896/classic-italian-tiramisu/,/279896/,"eggs,sugar,mascarpone cheese,amaretto liqueur,brewed espresso,ladyfingers (about 30),cocoa powder, or"
57,"4529,f0ed9c72fe4cc05e47eb87b4ea1b7837,16157,4397,4342,16223,2698,4421,22106,ba45e437c0d5783d17b992abd8c67874,10866","zucchini, spiralized,cooking spray,salted butter,chopped onion,garlic, crushed,cream cheese, softened,tuna, drained,frozen peas,shredded sharp Cheddar cheese,salt and ground black pepper to taste,sliced almonds, or to taste",https://www.allrecipes.com/recipe/283968/cheesy-tuna-and-zucchini-noodle-casserole/,/283968/,"zucchini,cooking spray,butter,onion,garlic,cream cheese,tuna,peas,sharp cheese,salt ground black pepper to taste,almonds, or to taste"
58,"6307,4286,4366,4279,4378,20337,1684,2879,16380,18774,16423,18766,18873,16421,16406,1684,2356,16421,6307,2496,5133","olive oil,cauliflower, cut into 1/2-inch pieces,leek, cut into 1/2-inch rounds,carrot, cut into 1/2 inch slices,mushrooms, cut into 1/2-inch pieces,sherry vinegar,all-purpose flour,soy milk,bay leaf,chopped fresh tarragon,chopped fresh thyme,chopped fresh oregano,Dijon mustard,salt,ground black pepper,all-purpose flour,baking powder,salt,olive oil,water, or more as needed,diced olives",https://www.allrecipes.com/recipe/271074/cauliflower-pot-pie/,/271074/,"olive oil,cauliflower,leek, 1/2- rounds,carrot,mushrooms,sherry vinegar,all-purpose flour,soy milk,bay leaf,fresh tarragon,fresh thyme,fresh oregano,Dijon mustard,salt,ground black pepper,all-purpose flour,baking powder,salt,olive oil,water, or more,olives"
59,"e2feb79b9f4571ef16d430c2159aedd1,1684,1527,1416,2356,16421,16278,6305,20332","nonstick cooking spray,all-purpose flour,powdered sugar,unsweetened cocoa powder,baking powder,salt,milk,vegetable oil,chocolate extract",https://www.allrecipes.com/recipe/283899/eggless-chocolate-mug-cake/,/283899/,"nonstick cooking spray,all-purpose flour,sugar,unsweetened cocoa powder,baking powder,salt,milk,vegetable oil,chocolate extract"
60,"6307,2882,7842,1502,4342,20607","olive oil,soy sauce,vinegar,honey,garlic, minced,tilapia fillets",https://www.allrecipes.com/recipe/279235/broiled-honey-soy-tilapia-fillets/,/279235/,"olive oil,soy sauce,vinegar,honey,garlic,tilapia fillets"
61,"2606,5107,16421,16407,16403,16417,20244,4342,3702,16427","sardines packed in olive oil, drained (such as King Oscar®),fresh lemon,salt and ground black pepper to taste,cayenne pepper,dried oregano,dried thyme,crushed red pepper flakes, or to taste,garlic cloves, chopped,chopped sun-dried tomatoes,capers",https://www.allrecipes.com/recipe/218369/sardines-with-sun-dried-tomato-and-capers/,/218369/,"sardines olive oil, (such King Oscar®),fresh lemon,salt ground black pepper to taste,cayenne pepper,oregano,thyme,pepper flakes, or to taste,garlic cloves,tomatoes,capers"
62,"17572,1525,2359,2356,16411,16386,16421,16318,4808,16424,1338","whole wheat pastry flour,brown sugar,baking soda,baking powder,pumpkin pie spice,cinnamon,salt,egg whites,pumpkin puree,vanilla extract,chocolate chips",https://www.allrecipes.com/recipe/275632/whole-wheat-pumpkin-bread-with-chocolate-chips/,/275632/,"whole wheat pastry flour,brown sugar,baking soda,baking powder,pumpkin pie spice,cinnamon,salt,egg whites,pumpkin puree,vanilla extract,chocolate chips"
63,"1684,1527,16421,16157,16317,5112,1684,1526,20455,2356,20488,1527,5112,20455","all-purpose flour,confectioners' sugar,salt,butter,eggs,lime juice,all-purpose flour,white sugar,grated lime peel, or more to taste (Optional),baking powder,green food coloring, or as desired (Optional),confectioners' sugar,lime juice,grated lime peel (Optional)",https://www.allrecipes.com/recipe/223532/lime-bars/,/223532/,"all-purpose flour,confectioners' sugar,salt,butter,eggs,lime juice,all-purpose flour,white sugar,lime peel, or more to taste (Optional),baking powder,green food coloring, or (Optional),confectioners' sugar,lime juice,lime peel (Optional)"
65,"4442,16421,16157,16317,16191,1684,5201,22038,16157,1526,2112,5912b458e6bed2c2b36726ee4672a458","russet potatoes,salt,butter, softened,eggs, beaten,farina,all-purpose flour, or as needed,Italian prune plums,white sugar,butter, melted,white sugar,dry bread crumbs,additional melted butter and sugar for garnish (optional)",https://www.allrecipes.com/recipe/48308/potato-plum-dumplings/,/48308/,"russet potatoes,salt,butter,eggs,farina,all-purpose flour, or,Italian prune plums,white sugar,butter,white sugar,dry bread crumbs,additional butter sugar for garnish (optional)"
66,"4371,4572,5012,20269,2779,5112,1502,4342,20551,16421,1ddf514ba70af6f41aea25a3ea6e597f,9725","romaine lettuce, chopped,tomatoes (such as Campari®), cut into wedges,avocados - peeled, pitted, and cubed,red onion, halved and thinly sliced,black beans, rinsed and drained,fresh lime juice,honey,garlic, minced,ground cumin,salt,freshly ground black pepper to taste,extra-virgin olive oil",https://www.allrecipes.com/recipe/283811/cuban-salad/,/283811/,"romaine lettuce,tomatoes (such Campari®),avocados -,onion,black beans,fresh lime juice,honey,garlic,ground cumin,salt,freshly ground black pepper to taste,extra-virgin olive oil"
67,"2750,17600,4397,4786,4409,16317,4342,7428,18741,20235,1632,6305","boneless, skinless salmon fillets,baking mix (such as Bisquick®),diced onion,diced red bell pepper,freshly chopped parsley,egg,garlic, minced,Worcestershire sauce,seasoned salt,seafood seasoning (such as Old Bay®),cornmeal,vegetable oil",https://www.allrecipes.com/recipe/283839/salmon-croquettes-with-fresh-salmon/,/283839/,"salmon fillets,baking mix (such Bisquick®),onion,bell pepper,freshly parsley,egg,garlic,Worcestershire sauce,seasoned salt,seafood seasoning (such Old Bay®),cornmeal,vegetable oil"
68,"2377,5233,1526,16317","refrigerated pie crust,diced fresh strawberries,white sugar,egg, beaten",https://www.allrecipes.com/recipe/283807/mini-strawberry-hand-pies/,/283807/,"refrigerated pie crust,fresh strawberries,white sugar,egg"
69,"5375,4397,18930,1536,2496","smoked bacon, diced,finely chopped onions,high-quality balsamic vinegar,real maple syrup,water, divided",https://www.allrecipes.com/recipe/283806/simple-onion-and-bacon-jam/,/283806/,"bacon,onions,high-quality balsamic vinegar,real maple syrup,water"
70,"6305,16390,4657,4343,4342,4397,1526,4572,3640,16418,18844,18699,34774,20473,3717","vegetable oil,cumin seeds,green chile peppers, sliced,grated fresh ginger ,garlic, minced,onion, chopped,white sugar,tomatoes, chopped,tomato paste,ground turmeric,ground coriander,red chile powder,jackfruit, cut into 2-inch pieces,garam masala,salt to taste,chopped fresh cilantro",https://www.allrecipes.com/recipe/256662/jackfruit-curry-kathal-subzi/,/256662/,"vegetable oil,cumin seeds,green chile peppers,fresh ginger, garlic,onion,white sugar,tomatoes,tomato paste,ground turmeric,ground coriander,chile powder,jackfruit,garam masala,salt to taste,fresh cilantro"
71,"4267,20270,4279,20847,16421,2496,7842,16403","cabbage, finely shredded,white onion, halved and sliced 1/4-inch thick,carrot, grated,red bird's eye chile peppers, grated,salt, or to taste,boiling water,vinegar,oregano",https://www.allrecipes.com/recipe/255910/curtido-salvadoran-pickled-slaw/,/255910/,"cabbage,white onion, 1/4- thick,carrot,bird's eye chile peppers,salt, or to taste,boiling water,vinegar,oregano"
72,"5320,16421,16317,16238,22884,16421,16406,16396,10536","boneless pork chops, 1/2-inch thick,salt and ground black pepper to taste,egg,grated Parmesan cheese,almond flour,salt,pepper,garlic powder,avocado oil cooking spray",https://www.allrecipes.com/recipe/278092/air-fryer-keto-pork-chops/,/278092/,"pork chops, 1/2- thick,salt ground black pepper to taste,egg,Parmesan cheese,almond flour,salt,pepper,garlic powder,avocado oil cooking spray"
